truthSat.TAIModJulian     xWithNoise                yWithNoise                zWithNoise                vxWithNoise               vyWithNoise               vzWithNoise               
28620.13602024305         -6449.895795266949        736.376028968441          1190.204759808061         -0.6893754122483752       -7.674261369683126        1.011437657855008         
28620.13602045138         -6449.911222176737        736.2375112176953         1190.220646514923         -0.689345801065119        -7.674354547326847        1.01126523673885          
28620.13602067129         -6449.921109675496        736.092062614611          1190.24127118649          -0.6891412715157685       -7.67436965201242         1.01159814521401          
28620.1360208912          -6449.93344846119         735.9444594210923         1190.262161569885         -0.6891944085223161       -7.674364800056801        1.011379791611369         
28620.13602108796         -6449.948314161482        735.81378380955           1190.277468675145         -0.6887410257338517       -7.674189169253227        1.011276269823868         
28620.13602133102         -6449.961360635589        735.6537342475466         1190.29944064562          -0.6886478385661088       -7.674507054953549        1.011426805601688         
28620.13602155093         -6449.97589436551         735.5067511546573         1190.316755821024         -0.6884842635402076       -7.674607954114305        1.011464736785013         
28620.13602174769         -6449.987167352057        735.3778441458769         1190.335236380343         -0.6882620038199303       -7.67444528011243         1.011370936930778         
28620.13602197917         -6449.998622304663        735.2230837906759         1190.355816215238         -0.6879555316192053       -7.674491625984392        1.011023633936574         
28620.1360221875          -6450.012184413165        735.0843309000705         1190.37208125616          -0.6880625852969554       -7.67457039556514         1.011196620547006         
28620.13602238426         -6450.022237726399        734.9542818227477         1190.390511890444         -0.6877067601726092       -7.674412812509342        1.010960743540182         
28620.13602259259         -6450.036094593407        734.8162954559153         1190.406896383458         -0.6876714087156297       -7.674653223301549        1.011177021824657         
28620.13602284722         -6450.05316255987         734.6486409208662         1190.431101152742         -0.687587350992833        -7.674480833531859        1.01116271574385          
28620.13602304398         -6450.061938301383        734.5175759062867         1190.44955852581          -0.6872445746914716       -7.674556567479242        1.011104684357948         
28620.13602324074         -6450.074426259194        734.3868402934879         1190.466625358975         -0.6871511835460906       -7.674503791228445        1.010889386817762         
28620.13602351852         -6450.092523407662        734.201793142869          1190.489566619894         -0.68697360686734         -7.674873348924939        1.010942195950867         
