truthSat.TAIModJulian     truthSat.X                truthSat.Y                truthSat.Z                truthSat.VX               truthSat.VY               truthSat.VZ               
28620.13601912036         -6449.829810595197        737.1189215259393         1190.105438164571         -0.6903613050582521       -7.674236190906738        1.011675267953912         
28620.13601931712         -6449.841545443618        736.9884593628851         1190.1226364047           -0.6902090973701145       -7.67425357964967         1.011647100021226         
28620.13601953703         -6449.854657800378        736.8426483602728         1190.141857400519         -0.6900389825690849       -7.674273010483945        1.011615617732821         
28620.13601984953         -6449.873285589382        736.6354426162962         1190.169170418226         -0.6897972398915306       -7.67430061610696         1.01157087887015          
28620.13602004629         -6449.885010848688        736.5049793581106         1190.186366883727         -0.6896450311826309       -7.674317993441134        1.011542709430334         
28620.13602024305         -6449.896733520441        736.3745158045365         1190.203562870344         -0.6894928221984303       -7.67433536769674         1.011514539583858         
28620.13602045138         -6449.909142940776        736.2363776023766         1190.221769863611         -0.6893316594445705       -7.674353760611837        1.011484712244357         
28620.13602067129         -6449.922238626199        736.0905646965143         1190.240987774038         -0.6891615428697002       -7.674373171611182        1.011453227335863         
28620.1360208912          -6449.935331079404        735.9447514218796         1190.260205086247         -0.6889914259511832       -7.67439257876495         1.011421741919441         
28620.13602108796         -6449.947042639859        735.8142866004674         1190.277399016402         -0.6888392157854994       -7.674409939800733        1.011393570326849         
28620.13602133102         -6449.961506289133        735.6531237665853         1190.298637915972         -0.6886511910835484       -7.674431381535716        1.011358769562875         
28620.13602155093         -6449.974589045643        735.5073093860716         1190.317853433468         -0.6884810731346004       -7.674450777152696        1.011327282622763         
28620.13602174769         -6449.986291930093        735.3768435753747         1190.335045757804         -0.6883288620471674       -7.674468127866065        1.011299109666909         
28620.13602197917         -6450.000056716613        735.2233540087235         1190.355271408546         -0.6881497898278153       -7.674488536528532        1.011265964492453         
28620.1360221875          -6450.012441962342        735.0852130497834         1190.373473927427         -0.6879886245053134       -7.674506900681519        1.011236133354336         
28620.13602238426         -6450.024136475157        734.9547462850711         1190.390664702214         -0.687836412529121        -7.674524241434591        1.011207959083175         
28620.13602259259         -6450.03651608009         734.8166046835031         1190.408866176989         -0.6876752466079901       -7.674542598876338        1.011178127058847         
28620.13602284722         -6450.051642768726        734.6477644995645         1190.431111694704         -0.68747826561978         -7.674565031062353        1.011141665076867         
28620.13602304398         -6450.063328605433        734.5172967467234         1190.448300863518         -0.6873260527231805       -7.674582361492861        1.011113489442695         
28620.13602324074         -6450.075011854517        734.3868286992912         1190.465489553343         -0.687173839552206        -7.674599688844694        1.011085313402034         
28620.13602351852         -6450.091501447992        734.2026380132638         1190.489755123523         -0.686958949902669        -7.674624145747241        1.011045534770286         
28620.13602371528         -6450.103178456323        734.0721692555625         1190.506942658109         -0.6868067360702161       -7.674641465674007        1.011017357749318         
28620.13602393519         -6450.116226168154        733.9263508838463         1190.526151688729         -0.686636614403618        -7.674660819595911        1.01098586530372          
28620.13602417823         -6450.130642876297        733.7651904567483         1190.547381015466         -0.6864485937486259       -7.674682205280208        1.01095105893072          
28620.13602438657         -6450.142998186757        733.6270383373981         1190.565578876925         -0.6862874162259005       -7.674700534018683        1.010921221324816         
28620.13602458333         -6450.154663779005        733.4965682812116         1190.582764298169         -0.6861352011843409       -7.674717840362907        1.010893042510774         
28620.13602478009         -6450.166326783596        733.3660979308434         1190.599949240369         -0.6859829858688815       -7.674735143628403        1.010864863290334         
28620.1360250463          -6450.182102023977        733.189578753367          1190.623198693783         -0.68577704706505         -7.67475854902837         1.010826737815834         
28620.13602541666         -6450.204041619603        732.9439936336855         1190.655543289897         -0.6854905316322433       -7.674791102671219        1.010773694097697         
28620.13602561343         -6450.215694350141        732.8135143631605         1190.672727213904         -0.685338306203509        -7.674808393914484        1.010745511498469         
28620.13602589121         -6450.23213989076         732.6293186688404         1190.696984628755         -0.6851234118909499       -7.674832798404092        1.010705725948067         
28620.13602608797         -6450.243785694915        732.4988463643592         1190.71416638655          -0.6849711947564068       -7.674850081204928        1.010677544026551         
28620.13602630786         -6450.256797846623        732.3530317042116         1190.733367950011         -0.6848010783540791       -7.674869392616707        1.010646047761829         
28620.13602652777         -6450.269807450917        732.2072090023144         1190.752569925684         -0.6846309526563219       -7.674888701199211        1.010614549331809         
28620.13602672453         -6450.281444883261        732.0767357475704         1190.769750133466         -0.6844787346373712       -7.674905974039443        1.010586366095815         
28620.13602690972         -6450.292395396901        731.9539371219503         1190.785919303118         -0.6843354703699318       -7.674922228017779        1.0105598403261           
28620.13602712963         -6450.305396154637        731.8081134162803         1190.805119640837         -0.6841653437380515       -7.674941526074827        1.010528340507147         
28620.13602737268         -6450.319761652488        731.6469394203125         1190.826340370419         -0.6839773086427485       -7.674962851031895        1.010493524327375         
